YYYY,MM,DD,HH24,MI format in Local standard time,Air Temperature in degrees C,Relative humidity in percentage %,Wind speed in km/h
2018,1,4,12,0,23.1,48,13
2018,1,4,12,30,24.1,48,15
2018,1,4,13,0,23.8,47,18
2018,1,4,13,30,24.4,45,21
2018,1,4,14,0,23.6,49,24
2018,1,4,14,30,23.7,48,22
2018,1,4,15,0,23.2,48,24
2018,1,4,15,30,23.2,46,24
2018,1,4,16,0,23.5,51,24
2018,1,4,16,30,22.7,52,22
2018,1,4,17,0,21.7,56,24
2018,1,4,17,30,21.4,56,26
2018,1,4,18,0,19.6,64,26
2018,1,4,18,30,18.9,66,26
2018,1,4,19,0,18.7,69,21
2018,1,4,19,30,17.9,74,21
2018,1,4,20,0,17.3,74,21
2018,1,4,20,30,17,74,18
2018,1,4,21,0,16.8,74,13
2018,1,4,21,30,16.6,74,11
2018,1,4,22,0,15.9,78,8
2018,1,4,22,30,15.8,79,9
2018,1,4,23,0,15.6,80,4
2018,1,4,23,30,15.5,81,4
2018,1,5,0,0,14.8,84,4
2018,1,5,0,30,14.4,85,5
2018,1,5,1,0,14.4,84,8
2018,1,5,1,30,13.7,88,4
2018,1,5,2,0,13.7,88,8
2018,1,5,2,30,13.2,88,5
2018,1,5,3,0,13.4,88,4
2018,1,5,3,30,13.5,87,0
2018,1,5,4,0,12.8,88,0
2018,1,5,4,30,12.2,91,0
2018,1,5,5,0,12.7,91,0
2018,1,5,5,30,12.9,92,11
2018,1,5,6,0,14.6,87,5
2018,1,5,6,30,15.8,80,0
2018,1,5,7,0,16.9,76,2
2018,1,5,7,30,17.6,72,9
2018,1,5,8,0,18,68,8
2018,1,5,8,30,18.8,65,9
2018,1,5,9,0,20.3,59,11
2018,1,5,9,30,20.8,59,11
2018,1,5,10,0,21.2,56,8
2018,1,5,10,30,22.3,53,8
2018,1,5,11,0,23.1,50,13
2018,1,5,11,30,24.4,47,11
2018,1,5,12,0,25.2,42,11
2018,1,5,12,30,25.7,41,11
2018,1,5,13,0,26.4,39,15
2018,1,5,13,30,27,39,13
2018,1,5,14,0,28.1,38,17
2018,1,5,14,30,29,37,18
2018,1,5,15,0,28.9,32,18
2018,1,5,15,30,30.1,29,21
2018,1,5,16,0,29,39,26
2018,1,5,16,30,28.2,32,26
2018,1,5,17,0,28.2,29,24
2018,1,5,17,30,27.8,27,22
2018,1,5,18,0,27.7,35,18
2018,1,5,18,30,26.6,44,17
2018,1,5,19,0,26.2,46,11
2018,1,5,19,30,24.4,55,9
2018,1,5,20,0,23.7,56,9
2018,1,5,20,30,21.8,64,13
2018,1,5,21,0,21.2,66,11
2018,1,5,21,30,20.5,69,13
2018,1,5,22,0,20,69,13
2018,1,5,22,30,19.8,70,9
2018,1,5,23,0,19.5,71,9
2018,1,5,23,30,19,73,11
2018,1,6,0,0,19.1,67,11
2018,1,6,0,30,19.1,60,17
2018,1,6,1,0,19,61,18
2018,1,6,1,30,17.3,68,15
2018,1,6,2,0,17.4,67,15
2018,1,6,2,30,17,67,18
2018,1,6,3,0,19.1,59,22
2018,1,6,3,30,22.6,44,24
2018,1,6,4,0,23.7,39,28
2018,1,6,4,30,24.5,36,33
2018,1,6,5,0,24.3,35,33
2018,1,6,5,30,24.6,34,33
2018,1,6,6,0,25,34,35
2018,1,6,6,30,25.8,33,33
2018,1,6,7,0,27.6,29,39
2018,1,6,7,30,28.9,27,44
2018,1,6,8,0,30.1,24,41
2018,1,6,8,30,30.6,24,41
2018,1,6,9,0,31.6,23,42
2018,1,6,9,30,33,23,35
2018,1,6,10,0,34.9,20,33
2018,1,6,10,30,35.3,17,42
2018,1,6,11,0,36.2,17,39
2018,1,6,11,30,37.1,15,39
2018,1,6,12,0,37.9,13,39
2018,1,6,12,30,38.9,12,35
2018,1,6,13,0,39,10,41
2018,1,6,13,30,40.2,11,42
2018,1,6,14,0,39.9,11,37
2018,1,6,14,30,40.2,12,31
2018,1,6,15,0,40.3,11,35
2018,1,6,15,30,40.7,10,33
2018,1,6,16,0,40.8,10,31
2018,1,6,16,30,40.9,10,33
2018,1,6,17,0,41.1,11,33
2018,1,6,17,30,27,42,42
2018,1,6,18,0,25.9,45,30
2018,1,6,18,30,25.1,48,24
2018,1,6,19,0,24.9,42,22
2018,1,6,19,30,24.6,44,17
2018,1,6,20,0,23.3,50,11
2018,1,6,20,30,22,55,11
2018,1,6,21,0,21.7,58,5
2018,1,6,21,30,22.2,57,4
2018,1,6,22,0,22.2,55,9
2018,1,6,22,30,21.1,60,9
2018,1,6,23,0,21.1,63,18
2018,1,6,23,30,20.3,67,22
2018,1,7,0,0,18.9,73,22
2018,1,7,0,30,18.4,75,21
2018,1,7,1,0,17.9,81,15
2018,1,7,1,30,18.1,81,18
2018,1,7,2,0,17.5,83,15
2018,1,7,2,30,17.8,82,13
2018,1,7,3,0,17.1,81,13
2018,1,7,3,30,16.5,85,11
2018,1,7,4,0,16.1,85,9
2018,1,7,4,30,16,86,11
2018,1,7,5,0,16.1,85,5
2018,1,7,5,30,16.5,84,8
2018,1,7,6,0,17.1,81,11
2018,1,7,6,30,17.4,79,13
2018,1,7,7,0,17.7,77,15
2018,1,7,7,30,18.3,75,17
2018,1,7,8,0,18.3,73,18
2018,1,7,8,30,18.6,69,18
2018,1,7,9,0,18.9,68,18
2018,1,7,9,30,18.9,71,21
2018,1,7,10,0,18.8,72,22
2018,1,7,10,30,19.1,73,13
2018,1,7,11,0,18.5,73,18
2018,1,7,11,30,19.1,70,18
2018,1,7,12,0,19.5,67,15
2018,1,7,12,30,19.4,67,18
2018,1,7,13,0,20,65,17
2018,1,7,13,30,20.5,64,21
2018,1,7,14,0,20.4,62,18
2018,1,7,14,30,20.5,63,17
2018,1,7,15,0,20.7,61,17
2018,1,7,15,30,20.5,62,18
2018,1,7,16,0,20.7,61,18
2018,1,7,16,30,20.1,62,21
2018,1,7,17,0,20.9,60,17
2018,1,7,17,30,20.3,62,18
2018,1,7,18,0,20.1,62,17
2018,1,7,18,30,19.7,64,17
2018,1,7,19,0,19.6,65,13
2018,1,7,19,30,19,69,11
2018,1,7,20,0,18.2,73,11
2018,1,7,20,30,18.1,75,9
2018,1,7,21,0,18,74,9
2018,1,7,21,30,18.1,72,9
2018,1,7,22,0,17.8,73,9
2018,1,7,22,30,16.5,79,8
2018,1,7,23,0,16.6,81,8
2018,1,7,23,30,16.4,81,9
2018,1,8,0,0,16.2,83,8
2018,1,8,0,30,16.5,80,8
2018,1,8,1,0,16.4,81,8
2018,1,8,1,30,16.5,82,5
2018,1,8,2,0,16.2,83,13
2018,1,8,2,30,16.4,84,11
2018,1,8,3,0,16.2,84,13
2018,1,8,3,30,16.3,83,11
2018,1,8,4,0,16.4,82,5
2018,1,8,4,30,16.2,87,18
2018,1,8,5,0,16.2,85,9
2018,1,8,5,30,16.1,87,8
2018,1,8,6,0,16.6,82,15
2018,1,8,6,30,17,80,13
2018,1,8,7,0,17.3,79,13
2018,1,8,7,30,17.6,78,11
2018,1,8,8,0,18,76,9
2018,1,8,8,30,18.1,76,15
2018,1,8,9,0,18.5,73,17
2018,1,8,9,30,18.3,73,21
2018,1,8,10,0,18.7,70,17
2018,1,8,10,30,19.1,68,15
2018,1,8,11,0,19.7,65,11
2018,1,8,11,30,21,61,13
2018,1,8,12,0,21.9,57,13
2018,1,8,12,30,22.4,55,13
2018,1,8,13,0,22.9,55,15
2018,1,8,13,30,22.7,56,17
2018,1,8,14,0,22.9,56,18
2018,1,8,14,30,23.3,56,21
2018,1,8,15,0,22.5,59,21
2018,1,8,15,30,22,60,22
2018,1,8,16,0,21.3,61,24
2018,1,8,16,30,20.6,62,21
2018,1,8,17,0,19.9,65,18
2018,1,8,17,30,20.8,61,18
2018,1,8,18,0,20.3,62,18
2018,1,8,18,30,20.4,61,18
2018,1,8,19,0,19.9,65,18
2018,1,8,19,30,19.4,66,17
2018,1,8,20,0,18.5,69,18
2018,1,8,20,30,17.8,73,18
