YYYY,MM,DD,HH24,MI format in Local standard time,Air Temperature in degrees C,Relative humidity in percentage %,Wind speed in km/h
2019,5,21,0,0,12.1,87,19.2
2019,5,21,0,30,11.2,90,17.5
2019,5,21,1,0,11,90,19.8
2019,5,21,1,30,10.6,88,18
2019,5,21,2,0,11,86,18.5
2019,5,21,2,30,11.1,86,17.9
2019,5,21,3,0,11.4,84,18.1
2019,5,21,3,30,11.4,84,18.3
2019,5,21,4,0,10.7,88,21.3
2019,5,21,4,30,11.2,85,20
2019,5,21,5,0,10.8,84,20
2019,5,21,5,30,10.9,84,22.9
2019,5,21,6,0,10.3,87,24.8
2019,5,21,6,30,10.5,85,25.6
2019,5,21,7,0,10.1,88,25.3
2019,5,21,7,30,10,89,26.3
2019,5,21,8,0,11,86,23.2
2019,5,21,8,30,11.6,85,23.8
2019,5,21,9,0,12.5,81,23.6
2019,5,21,9,30,14.2,75,23.5
2019,5,21,10,0,15.9,67,21.6
2019,5,21,10,30,16.4,63,20.7
2019,5,21,11,0,17.3,59,20.9
2019,5,21,11,30,18.6,50,23.4
2019,5,21,12,0,18.6,48,22.1
2019,5,21,12,30,19,45,20.2
2019,5,21,13,0,19.6,45,23.5
2019,5,21,13,30,19,47,23
2019,5,21,14,0,18.9,47,20
2019,5,21,14,30,19.4,46,22.4
2019,5,21,15,0,18.6,48,24.2
2019,5,21,15,30,18.1,50,21.3
2019,5,21,16,0,17.9,52,17.3
2019,5,21,16,30,17.4,54,16.1
2019,5,21,17,0,16.2,69,19.2
2019,5,21,17,30,14.5,76,14.8
2019,5,21,18,0,13.7,79,15.4
2019,5,21,18,30,14.5,78,15.2
2019,5,21,19,0,14.3,78,18.7
2019,5,21,19,30,13.7,79,16.3
2019,5,21,20,0,13.9,78,15
2019,5,21,20,30,12.9,81,14.5
2019,5,21,21,0,13.1,80,13.8
2019,5,21,21,30,12.8,82,15.4
2019,5,21,22,0,12.5,84,17.2
2019,5,21,22,30,12.7,82,19.4
2019,5,21,23,0,12.7,81,19
2019,5,21,23,30,12.4,83,18.3
2019,5,22,0,0,12.2,83,17.8
2019,5,22,0,30,12.2,84,19.5
2019,5,22,1,0,12,84,22.2
2019,5,22,1,30,11.6,85,21.4
2019,5,22,2,0,10.6,88,19
2019,5,22,2,30,11.6,84,18.1
2019,5,22,3,0,12,82,23.1
2019,5,22,3,30,12.5,77,25.7
2019,5,22,4,0,12.1,78,27.3
2019,5,22,4,30,12.1,77,27
2019,5,22,5,0,11.4,81,27.4
2019,5,22,5,30,11.2,81,25.4
2019,5,22,6,0,11.1,81,26.2
2019,5,22,6,30,10.8,82,26.3
2019,5,22,7,0,10.8,82,26.6
2019,5,22,7,30,11,81,25.7
2019,5,22,8,0,12.3,74,26.5
2019,5,22,8,30,12.9,73,26
2019,5,22,9,0,14.4,67,25.1
2019,5,22,9,30,15.5,63,22.8
2019,5,22,10,0,16.8,61,19.2
2019,5,22,10,30,18.2,54,14.1
2019,5,22,11,0,19.3,48,12.8
2019,5,22,11,30,19.9,45,13.1
2019,5,22,12,0,20.4,40,12.8
2019,5,22,12,30,20.5,37,13.6
2019,5,22,13,0,20.4,40,12.4
2019,5,22,13,30,20.8,37,8.7
2019,5,22,14,0,20.9,40,11
2019,5,22,14,30,21.2,35,11.5
2019,5,22,15,0,21.7,36,11.9
2019,5,22,15,30,21.2,37,11.9
2019,5,22,16,0,21,37,8.5
2019,5,22,16,30,20,39,12.8
2019,5,22,17,0,18.1,48,11.5
2019,5,22,17,30,16.2,57,7.2
2019,5,22,18,0,15.4,59,4.3
2019,5,22,18,30,15,56,6.6
2019,5,22,19,0,14.6,59,11.9
2019,5,22,19,30,13.2,70,11.8
2019,5,22,20,0,13.8,71,15.4
2019,5,22,20,30,12.2,78,18.8
2019,5,22,21,0,12.6,76,22.3
2019,5,22,21,30,12.9,75,24.1
2019,5,22,22,0,12.3,78,22.9
2019,5,22,22,30,12.7,78,22.5
2019,5,22,23,0,12.8,79,23.5
2019,5,22,23,30,12.3,82,24.4
2019,5,23,0,0,12.5,81,22.6
2019,5,23,0,30,11.9,83,22.9
2019,5,23,1,0,12.1,81,24.3
2019,5,23,1,30,11.6,83,25.3
2019,5,23,2,0,11.7,80,24.6
2019,5,23,2,30,11.2,83,26.3
2019,5,23,3,0,11.5,80,24.7
2019,5,23,3,30,11.5,80,26.8
2019,5,23,4,0,12.6,73,27.1
2019,5,23,4,30,12.6,72,27.2
2019,5,23,5,0,12,76,28.4
2019,5,23,5,30,11.8,77,26.9
2019,5,23,6,0,11.6,78,29.6
2019,5,23,6,30,11.9,77,29.8
2019,5,23,7,0,11.3,80,29.5
2019,5,23,7,30,12.5,75,26.9
2019,5,23,8,0,12.5,74,29.3
2019,5,23,8,30,13,71,28.9
2019,5,23,9,0,14.3,66,36.1
2019,5,23,9,30,15.2,62,37.6
2019,5,23,10,0,16.7,55,39.3
2019,5,23,10,30,17.6,53,39.2
2019,5,23,11,0,18.8,49,35.5
2019,5,23,11,30,19.2,45,38.4
2019,5,23,12,0,19.9,43,40.1
2019,5,23,12,30,20.3,40,45.2
2019,5,23,13,0,19.8,45,41.6
2019,5,23,13,30,20.2,43,40.2
2019,5,23,14,0,20.6,40,43.1
2019,5,23,14,30,20.4,41,44.6
2019,5,23,15,0,20.5,41,40.8
2019,5,23,15,30,20.1,41,41.2
2019,5,23,16,0,19.9,41,37.9
2019,5,23,16,30,18.2,48,40.2
2019,5,23,17,0,17.2,52,37.3
2019,5,23,17,30,16.5,57,37.3
2019,5,23,18,0,16.1,59,40.9
2019,5,23,18,30,15.5,62,39.3
2019,5,23,19,0,15.6,61,35.9
2019,5,23,19,30,15.3,61,36.4
2019,5,23,20,0,15.9,57,42.2
2019,5,23,20,30,15.9,57,38.1
2019,5,23,21,0,16,55,38.8
2019,5,23,21,30,15.8,54,45.5
2019,5,23,22,0,15.5,56,44.7
2019,5,23,22,30,15.2,58,38.2
2019,5,23,23,0,15.8,52,40.8
2019,5,23,23,30,15.5,54,39.7
2019,5,24,0,0,15.6,51,33.6
2019,5,24,0,30,15.5,51,41.8
2019,5,24,1,0,15.5,52,39.1
2019,5,24,1,30,15.5,49,41.2
2019,5,24,2,0,15.5,48,47.3
2019,5,24,2,30,15.3,48,47.9
2019,5,24,3,0,15.2,48,50.7
2019,5,24,3,30,15,46,51.3
2019,5,24,4,0,14.6,48,39.9
2019,5,24,4,30,14.8,46,40.1
2019,5,24,5,0,14.6,47,39
2019,5,24,5,30,14.7,47,46.2
2019,5,24,6,0,14.5,46,47.2
2019,5,24,6,30,14.5,46,48.6
2019,5,24,7,0,14.4,47,50.8
2019,5,24,7,30,14.6,46,51.9
2019,5,24,8,0,14.5,45,49.5
2019,5,24,8,30,14.3,48,40.7
2019,5,24,9,0,14.5,48,36.8
2019,5,24,9,30,14.6,50,29.7
2019,5,24,10,0,14.4,71,18
2019,5,24,10,30,13.7,74,21.3
2019,5,24,11,0,,,36
2019,5,24,11,30,14.1,63,36.3
2019,5,24,12,0,15,59,38.5
2019,5,24,12,30,15.7,56,42.7
2019,5,24,13,0,16.4,53,36.4
2019,5,24,13,30,17.2,53,36.1
2019,5,24,14,0,17.1,52,37.8
2019,5,24,14,30,18.2,48,41.7
2019,5,24,15,0,18.5,49,45.3
2019,5,24,15,30,17.5,52,47.5
2019,5,24,16,0,15.9,59,47.3
2019,5,24,16,30,15.5,63,43.4
2019,5,24,17,0,15.7,61,39.1
2019,5,24,17,30,15.8,62,38.6
2019,5,24,18,0,15.9,62,37.5
2019,5,24,18,30,15.3,65,37.9
2019,5,24,19,0,15.5,66,36.8
2019,5,24,19,30,15.6,61,46.1
2019,5,24,20,0,15.7,59,48.7
2019,5,24,20,30,15.5,61,42.6
2019,5,24,21,0,15.2,63,42.6
2019,5,24,21,30,15.4,62,39.2
2019,5,24,22,0,15.4,63,36.9
2019,5,24,22,30,14.9,66,34.1
2019,5,24,23,0,15,66,28.9
2019,5,24,23,30,15.1,66,29.8
2019,5,25,0,0,14.3,72,25.8
2019,5,25,0,30,14.4,74,27.7
2019,5,25,1,0,14.4,74,24.8
2019,5,25,1,30,13.7,77,20
2019,5,25,2,0,13.6,77,25.3
2019,5,25,2,30,13.8,77,25.8
2019,5,25,3,0,13.7,77,25.1
2019,5,25,3,30,13.6,79,19
2019,5,25,4,0,13.6,79,19.3
2019,5,25,4,30,13.4,79,14.9
2019,5,25,5,0,13.2,80,17.1
2019,5,25,5,30,12.4,84,25.2
2019,5,25,6,0,12.3,86,26.2
2019,5,25,6,30,12.2,87,24.3
2019,5,25,7,0,11.5,89,23.7
2019,5,25,7,30,11.6,88,24.8
2019,5,25,8,0,12.3,83,24.3
2019,5,25,8,30,13.5,75,15.8
2019,5,25,9,0,14.1,71,8.2
2019,5,25,9,30,15.6,62,21.9
2019,5,25,10,0,16.4,57,20.6
2019,5,25,10,30,16.9,53,22.7
2019,5,25,11,0,17.7,50,27
2019,5,25,11,30,18.1,47,27.9
2019,5,25,12,0,18.2,45,29
2019,5,25,12,30,18.2,46,28.7
2019,5,25,13,0,17.5,48,27.7
2019,5,25,13,30,17.7,49,32.6
2019,5,25,14,0,17.6,50,30.9
2019,5,25,14,30,17.6,51,31.6
2019,5,25,15,0,18,49,27.3
2019,5,25,15,30,17.5,51,27.7
2019,5,25,16,0,17.6,51,23.2
2019,5,25,16,30,17.5,53,23
2019,5,25,17,0,17,54,21
2019,5,25,17,30,17,54,20.4
2019,5,25,18,0,11.8,87,26.2
2019,5,25,18,30,12.6,82,21.4
2019,5,25,19,0,12.4,86,12.8
2019,5,25,19,30,12.6,88,13.8
2019,5,25,20,0,12.5,90,16.9
2019,5,25,20,30,12.2,93,13
2019,5,25,21,0,11.9,95,9.8
2019,5,25,21,30,12.4,87,13.3
2019,5,25,22,0,12.2,81,19.1
2019,5,25,22,30,11.6,85,16.3
2019,5,25,23,0,11.7,75,28.1
2019,5,25,23,30,11.2,74,31.1
2019,5,26,0,0,10.8,74,25.1
2019,5,26,0,30,10.7,73,22
2019,5,26,1,0,10.3,72,22
2019,5,26,1,30,9.5,75,16.3
2019,5,26,2,0,9.4,75,11.3
2019,5,26,2,30,9.3,74,9.2
2019,5,26,3,0,9.5,74,13.2
2019,5,26,3,30,9.1,76,14.5
2019,5,26,4,0,8.7,76,14.7
2019,5,26,4,30,8.3,79,11.3
2019,5,26,5,0,8.7,74,14.8
2019,5,26,5,30,8.5,74,14.8
2019,5,26,6,0,7.8,76,15.8
2019,5,26,6,30,8.1,75,14.9
2019,5,26,7,0,7.6,76,16.5
2019,5,26,7,30,8.5,71,17.6
2019,5,26,8,0,7.8,76,15.7
2019,5,26,8,30,9,73,17.8
2019,5,26,9,0,10.3,70,20.2
2019,5,26,9,30,11.2,62,20.5
2019,5,26,10,0,11.9,58,20.1
2019,5,26,10,30,12.3,54,24.2
2019,5,26,11,0,12.8,52,24.3
2019,5,26,11,30,13.4,51,22.8
2019,5,26,12,0,12.9,50,28.1
2019,5,26,12,30,13,47,26.2
2019,5,26,13,0,13.7,47,21.6
2019,5,26,13,30,13.7,49,26.7
2019,5,26,14,0,14,50,28.6
2019,5,26,14,30,14.1,51,30.9
2019,5,26,15,0,13.8,53,29.6
2019,5,26,15,30,13.1,60,33.8
2019,5,26,16,0,12.7,64,36.6
2019,5,26,16,30,12.5,68,38.1
2019,5,26,17,0,12.4,69,35.8
2019,5,26,17,30,12,70,36.4
2019,5,26,18,0,12.2,72,35.6
2019,5,26,18,30,12,75,38.7
2019,5,26,19,0,12.3,72,34.5
2019,5,26,19,30,12.4,70,29.4
2019,5,26,20,0,12.4,71,26.5
2019,5,26,20,30,12.3,73,24.9
2019,5,26,21,0,12,77,25.4
2019,5,26,21,30,8.5,92,32.3
2019,5,26,22,0,8.7,92,25.2
2019,5,26,22,30,9.4,81,20.5
2019,5,26,23,0,9.2,77,19
2019,5,26,23,30,9.1,75,16.9
2019,5,27,0,0,9.1,75,17
2019,5,27,0,30,9.5,71,20.2
2019,5,27,1,0,9.1,71,19.8
2019,5,27,1,30,9.3,70,17.8
2019,5,27,2,0,8.3,70,25.9
2019,5,27,2,30,7.6,76,26.9
2019,5,27,3,0,7.5,76,21
2019,5,27,3,30,7.8,74,19.9
2019,5,27,4,0,7.6,75,20.2
2019,5,27,4,30,7.1,71,23.6
2019,5,27,5,0,6.7,75,19.7
2019,5,27,5,30,6.8,71,23.3
2019,5,27,6,0,6.7,68,32.1
2019,5,27,6,30,6.9,66,31.1
2019,5,27,7,0,6.4,69,31.2
2019,5,27,7,30,6.1,70,29.7
2019,5,27,8,0,6.8,70,30
2019,5,27,8,30,7.4,66,31.1
2019,5,27,9,0,7.4,69,38.1
2019,5,27,9,30,8.1,66,38.4
2019,5,27,10,0,7.3,73,42.9
2019,5,27,10,30,7.6,76,40.5
2019,5,27,11,0,9,68,44.3
2019,5,27,11,30,10.4,64,45.2
2019,5,27,12,0,10.6,62,47.3
2019,5,27,12,30,11.5,60,40.7
2019,5,27,13,0,11.6,57,40.8
2019,5,27,13,30,12.1,58,43.9
2019,5,27,14,0,12.7,55,42.2
2019,5,27,14,30,12.2,55,48.7
2019,5,27,15,0,12.5,54,46.3
2019,5,27,15,30,12.2,55,43.4
2019,5,27,16,0,11.8,60,41.1
2019,5,27,16,30,10.4,67,37.3
2019,5,27,17,0,9.8,70,31.4
2019,5,27,17,30,9.2,74,28.9
2019,5,27,18,0,9.1,76,23.9
2019,5,27,18,30,9,73,26
2019,5,27,19,0,8.6,74,20
2019,5,27,19,30,8.1,77,18.6
2019,5,27,20,0,8.7,72,18.7
2019,5,27,20,30,8.5,70,23.8
2019,5,27,21,0,8.3,70,25
2019,5,27,21,30,8.1,70,25.8
2019,5,27,22,0,7.8,71,21.3
2019,5,27,22,30,7.7,69,21
2019,5,27,23,0,8.5,65,21.6
2019,5,27,23,30,8.2,68,17
2019,5,28,0,0,8.5,69,17
2019,5,28,0,30,8.7,68,14.4
2019,5,28,1,0,7.8,73,13.7
2019,5,28,1,30,8.9,71,15.9
2019,5,28,2,0,9,69,14.8
2019,5,28,2,30,8.8,72,16.4
2019,5,28,3,0,8.2,71,25.2
2019,5,28,3,30,8.3,70,28.4
2019,5,28,4,0,8.6,69,28.2
2019,5,28,4,30,8.7,69,27.5
2019,5,28,5,0,9,69,28.3
2019,5,28,5,30,8.6,73,28.9
2019,5,28,6,0,8.6,74,29.7
2019,5,28,6,30,7.7,79,30.9
2019,5,28,7,0,7.4,80,32.6
2019,5,28,7,30,8.1,78,32.2
2019,5,28,8,0,7.7,82,36.9
2019,5,28,8,30,8.1,83,35.8
2019,5,28,9,0,8.9,81,37.4
2019,5,28,9,30,10.1,76,33
2019,5,28,10,0,10.7,74,25.1
2019,5,28,10,30,10.6,76,28.2
2019,5,28,11,0,11.2,74,34.2
2019,5,28,11,30,11.7,71,29.6
2019,5,28,12,0,12.6,67,28.4
2019,5,28,12,30,13.5,63,32
2019,5,28,13,0,13.9,61,26.3
2019,5,28,13,30,13.7,63,28.4
2019,5,28,14,0,13.9,60,21.1
2019,5,28,14,30,14.3,57,18.5
2019,5,28,15,0,14.9,55,20.3
2019,5,28,15,30,14,66,24.1
2019,5,28,16,0,14.4,65,23
2019,5,28,16,30,14.1,68,20.4
2019,5,28,17,0,13.6,71,22.5
2019,5,28,17,30,13.1,75,19
2019,5,28,18,0,12.9,72,11.8
2019,5,28,18,30,12.3,74,27.7
2019,5,28,19,0,11.7,74,10.6
2019,5,28,19,30,12.7,63,15
2019,5,28,20,0,12.7,56,33.5
2019,5,28,20,30,12.2,60,34.3
2019,5,28,21,0,12.3,61,27.1
2019,5,28,21,30,11.5,61,28.5
2019,5,28,22,0,11.6,56,27.2
2019,5,28,22,30,12.1,55,30.2
2019,5,28,23,0,9.7,79,38.4
2019,5,28,23,30,9.1,81,39.6
2019,5,29,0,0,8.8,81,30.1
2019,5,29,0,30,9.6,70,32.2
2019,5,29,1,0,9.4,69,35.5
2019,5,29,1,30,9.2,67,39.9
2019,5,29,2,0,8.6,76,35.5
2019,5,29,2,30,7.7,82,29.7
2019,5,29,3,0,7.9,74,25.5
2019,5,29,3,30,8.1,70,29.9
2019,5,29,4,0,8,68,33.9
2019,5,29,4,30,8.5,64,36.1
2019,5,29,5,0,7.6,76,34.1
2019,5,29,5,30,7.7,72,30.5
2019,5,29,6,0,7.3,74,29.2
2019,5,29,6,30,7.8,68,28.7
2019,5,29,7,0,7.5,69,31.3
2019,5,29,7,30,7.2,66,29
2019,5,29,8,0,6.9,66,29.5
2019,5,29,8,30,7.8,63,30.6
2019,5,29,9,0,8.1,58,32.7
2019,5,29,9,30,8,59,33.8
2019,5,29,10,0,8.4,57,39.9
2019,5,29,10,30,8.4,56,41.3
2019,5,29,11,0,9.1,54,42.7
2019,5,29,11,30,8,64,47.2
2019,5,29,12,0,9.5,59,38.3
2019,5,29,12,30,9.8,55,42.3
2019,5,29,13,0,9.1,58,45.6
2019,5,29,13,30,9.5,54,45.2
2019,5,29,14,0,9.7,53,44.5
2019,5,29,14,30,9.3,57,40.3
2019,5,29,15,0,8.5,60,39.1
2019,5,29,15,30,8,67,38.5
2019,5,29,16,0,6.7,81,32.3
2019,5,29,16,30,4.8,90,27.3
2019,5,29,17,0,5.3,91,18.6
2019,5,29,17,30,6.1,86,23.2
2019,5,29,18,0,6.2,86,21.9
2019,5,29,18,30,6.2,83,22.9
2019,5,29,19,0,5.8,80,24.4
2019,5,29,19,30,5.3,80,23.7
2019,5,29,20,0,5.5,77,27.2
2019,5,29,20,30,5.9,74,29.3
2019,5,29,21,0,6.3,75,28.3
2019,5,29,21,30,6.1,80,25.3
2019,5,29,22,0,5.7,86,26.7
2019,5,29,22,30,5.2,87,25.9
2019,5,29,23,0,5.1,86,25.9
2019,5,29,23,30,5.5,81,25.6
2019,5,30,0,0,5.5,81,23.6
2019,5,30,0,30,5.8,80,21.7
2019,5,30,1,0,5.8,85,20.5
2019,5,30,1,30,5.6,86,23.4
2019,5,30,2,0,5.4,87,20.2
2019,5,30,2,30,5.7,86,21.7
2019,5,30,3,0,6.2,83,26
2019,5,30,3,30,6.1,83,29.2
2019,5,30,4,0,6,88,25.9
2019,5,30,4,30,6,88,22.6
2019,5,30,5,0,6.1,89,25.4
2019,5,30,5,30,5.8,91,21.9
2019,5,30,6,0,6.1,86,20.7
2019,5,30,6,30,5,90,14.9
2019,5,30,7,0,5.4,86,15.7
2019,5,30,7,30,5.2,84,17
2019,5,30,8,0,5.4,83,16.5
2019,5,30,8,30,6,82,16.8
2019,5,30,9,0,7.1,77,22.4
2019,5,30,9,30,8.4,75,26.9
2019,5,30,10,0,8.8,74,25.2
2019,5,30,10,30,9.8,71,19
2019,5,30,11,0,10.5,67,18.9
2019,5,30,11,30,10.7,64,25
2019,5,30,12,0,11.2,61,25.9
2019,5,30,12,30,11.2,61,28.8
2019,5,30,13,0,11.3,60,28.7
2019,5,30,13,30,11.2,65,28.7
2019,5,30,14,0,12,59,30.4
2019,5,30,14,30,12.2,56,30.1
2019,5,30,15,0,11.4,58,31.9
2019,5,30,15,30,11.9,59,25.4
2019,5,30,16,0,11.3,60,29.6
2019,5,30,16,30,11.2,66,26
2019,5,30,17,0,10.6,72,27.8
2019,5,30,17,30,10.4,73,25.7
2019,5,30,18,0,9.9,78,29.8
2019,5,30,18,30,9.9,79,24
2019,5,30,19,0,9.9,80,22
2019,5,30,19,30,10.2,79,23
2019,5,30,20,0,10.1,82,25.5
2019,5,30,20,30,10.1,84,24.4
2019,5,30,21,0,10.2,84,23.1
2019,5,30,21,30,10.2,86,23.3
2019,5,30,22,0,10.1,87,23.6
2019,5,30,22,30,10.4,85,22.6
2019,5,30,23,0,10.6,83,21.2
2019,5,30,23,30,10.6,85,21.3
2019,5,31,0,0,10.4,90,24.4
2019,5,31,0,30,10.2,93,23.3
2019,5,31,1,0,10.3,95,21.4
2019,5,31,1,30,10.2,97,21
2019,5,31,2,0,10.3,96,18.1
2019,5,31,2,30,10.3,97,12.6
2019,5,31,3,0,10.4,96,8.5
2019,5,31,3,30,11.1,94,15.6
2019,5,31,4,0,11.3,92,22.1
2019,5,31,4,30,11.2,94,25.1
2019,5,31,5,0,11.2,95,24.6
2019,5,31,5,30,11,94,19.4
2019,5,31,6,0,11,94,20.2
2019,5,31,6,30,11.4,91,19.3
2019,5,31,7,0,11.2,91,20.8
2019,5,31,7,30,11.1,91,18.7
2019,5,31,8,0,11.1,90,18.3
2019,5,31,8,30,11.2,91,21
2019,5,31,9,0,11.4,91,22.3
2019,5,31,9,30,11.5,91,23.6
2019,5,31,10,0,11.4,92,25.3
2019,5,31,10,30,11.5,92,19.3
2019,5,31,11,0,12.7,88,24.8
2019,5,31,11,30,13,82,27.7
2019,5,31,12,0,11.7,90,28.3
2019,5,31,12,30,11.4,95,27.2
2019,5,31,13,0,11.4,95,24.1
2019,5,31,13,30,11.8,93,19.7
2019,5,31,14,0,12.4,84,19
2019,5,31,14,30,12.3,78,24.5
2019,5,31,15,0,11.4,87,27.9
2019,5,31,15,30,11.7,89,18
2019,5,31,16,0,11.3,90,19.7
2019,5,31,16,30,10.8,96,20.3
2019,5,31,17,0,10.8,95,14.9
2019,5,31,17,30,10.8,95,13.6
2019,5,31,18,0,10.7,96,17.2
2019,5,31,18,30,10.7,96,14.1
2019,5,31,19,0,10.7,96,10.9
2019,5,31,19,30,10.7,96,9.1
2019,5,31,20,0,10.7,96,10.4
2019,5,31,20,30,10.9,91,13.8
2019,5,31,21,0,10.9,91,17.6
2019,5,31,21,30,10.8,92,13.9
2019,5,31,22,0,10.9,90,14
2019,5,31,22,30,10.9,90,15.5
2019,5,31,23,0,10.9,88,14.6
2019,5,31,23,30,10.8,88,13.5
2019,6,1,0,0,10.8,86,15.7
2019,6,1,0,30,10.8,87,16.3
2019,6,1,1,0,10.8,86,14.6
2019,6,1,1,30,10.8,87,14.9
2019,6,1,2,0,10.7,88,15.7
2019,6,1,2,30,10.6,90,13.5
2019,6,1,3,0,10.6,88,11.7
2019,6,1,3,30,11,84,11.8
2019,6,1,4,0,10.9,86,13.1
2019,6,1,4,30,10.8,87,14.3
2019,6,1,5,0,10.7,87,12.5
2019,6,1,5,30,10.7,87,13.1
2019,6,1,6,0,10.8,86,12.8
2019,6,1,6,30,10.7,87,10.7
2019,6,1,7,0,10.7,88,9.5
2019,6,1,7,30,10.8,87,9.4
2019,6,1,8,0,10.9,88,9.2
2019,6,1,8,30,11.1,89,9.8
2019,6,1,9,0,11.5,85,9.3
2019,6,1,9,30,11.6,84,11.2
2019,6,1,10,0,12.6,80,12
2019,6,1,10,30,12.8,72,16.4
2019,6,1,11,0,13.2,70,15.7
2019,6,1,11,30,13.2,68,18.3
2019,6,1,12,0,13.7,64,22.2
2019,6,1,12,30,13.7,65,18.7
2019,6,1,13,0,13.4,65,17.8
2019,6,1,13,30,13.7,63,16.7
2019,6,1,14,0,13.7,66,16.9
2019,6,1,14,30,13.2,69,18.2
2019,6,1,15,0,12.9,70,18.1
2019,6,1,15,30,12.7,72,18.1
2019,6,1,16,0,12.7,71,15.2
2019,6,1,16,30,12.5,71,13.5
2019,6,1,17,0,12.3,75,11.9
2019,6,1,17,30,12.2,76,9.7
2019,6,1,18,0,12.1,77,11.8
2019,6,1,18,30,12,76,11.6
2019,6,1,19,0,11.7,80,10.3
2019,6,1,19,30,11.9,75,10.1
2019,6,1,20,0,11.5,80,10.2
2019,6,1,20,30,11.3,82,8.2
2019,6,1,21,0,11,85,6.3
2019,6,1,21,30,10.7,85,5.1
2019,6,1,22,0,10.6,87,6.6
2019,6,1,22,30,10.7,87,6.3
2019,6,1,23,0,10.5,88,5.2
2019,6,1,23,30,10.1,89,0.9
2019,6,2,0,0,10.2,91,9.9
2019,6,2,0,30,10.3,92,6.4
2019,6,2,1,0,10.3,92,6.5
2019,6,2,1,30,10.4,91,8.6
2019,6,2,2,0,10.5,91,9.2
2019,6,2,2,30,10.4,91,10.3
2019,6,2,3,0,10.2,91,8.7
2019,6,2,3,30,10.1,92,5.2
2019,6,2,4,0,10.1,91,1.5
2019,6,2,4,30,10.2,88,0.7
2019,6,2,5,0,10.3,86,8.7
2019,6,2,5,30,10.2,87,8.6
2019,6,2,6,0,10.1,89,8.1
2019,6,2,6,30,10.1,88,5.1
2019,6,2,7,0,10.1,87,7.2
2019,6,2,7,30,10,83,9.1
2019,6,2,8,0,10,83,5.4
2019,6,2,8,30,10.2,81,7.1
2019,6,2,9,0,10.4,78,8.9
2019,6,2,9,30,10.7,76,10.7
2019,6,2,10,0,11.1,71,12.3
2019,6,2,10,30,11.4,71,12.2
2019,6,2,11,0,11.6,67,11.1
2019,6,2,11,30,12.8,63,10.4
2019,6,2,12,0,12.1,66,8.8
2019,6,2,12,30,13.5,60,7.3
2019,6,2,13,0,13.6,61,8.8
2019,6,2,13,30,13,63,10.8
2019,6,2,14,0,12.8,67,13.3
2019,6,2,14,30,12.9,69,14.3
2019,6,2,15,0,13.1,66,14.9
2019,6,2,15,30,13,65,17.1
2019,6,2,16,0,9.2,85,29.5
2019,6,2,16,30,9.2,79,31.1
2019,6,2,17,0,9,73,30
2019,6,2,17,30,8.5,77,20.3
2019,6,2,18,0,8.7,77,13.1
2019,6,2,18,30,8.8,74,18.3
2019,6,2,19,0,8.7,76,12.5
2019,6,2,19,30,8.4,79,12.7
2019,6,2,20,0,7.9,86,11.8
2019,6,2,20,30,8,86,10.3
2019,6,2,21,0,7.9,87,8.6
2019,6,2,21,30,7.7,90,8.3
2019,6,2,22,0,7.6,90,9.1
2019,6,2,22,30,7.7,90,11
2019,6,2,23,0,7.7,90,12.6
2019,6,2,23,30,7.6,91,15
2019,6,3,0,0,7.5,90,16.2
2019,6,3,0,30,7.4,93,17.4
2019,6,3,1,0,7.4,93,16.9
2019,6,3,1,30,7.4,94,17.1
2019,6,3,2,0,7.4,96,18.9
2019,6,3,2,30,7.5,96,18.9
2019,6,3,3,0,7.5,96,23
2019,6,3,3,30,7.5,96,20.8
2019,6,3,4,0,7.7,94,22
2019,6,3,4,30,7.6,96,22.7
2019,6,3,5,0,7.5,97,28.1
2019,6,3,5,30,7.7,96,26.8
2019,6,3,6,0,7.8,96,33.6
2019,6,3,6,30,9.4,93,37.9
2019,6,3,7,0,9.6,92,32.7
2019,6,3,7,30,8.9,93,30.3
2019,6,3,8,0,8.7,97,24.7
2019,6,3,8,30,8.7,96,19.7
2019,6,3,9,0,8.5,94,15.3
2019,6,3,9,30,8.8,96,12
2019,6,3,10,0,9,96,12.7
2019,6,3,10,30,10,93,16.7
2019,6,3,11,0,9.7,95,22.4
2019,6,3,11,30,9.4,97,20.6
2019,6,3,12,0,9.3,92,23.1
2019,6,3,12,30,9.5,93,19.9
2019,6,3,13,0,9.6,93,24.6
2019,6,3,13,30,9.5,96,30.6
2019,6,3,14,0,9.5,96,27.4
2019,6,3,14,30,9.2,89,27.6
2019,6,3,15,0,8.9,94,24.4
2019,6,3,15,30,8.8,96,23
2019,6,3,16,0,8.9,94,25.7
2019,6,3,16,30,8.8,96,22.4
2019,6,3,17,0,8.9,94,19.6
2019,6,3,17,30,8.9,96,23
2019,6,3,18,0,9,96,15.3
2019,6,3,18,30,9.2,82,13.6
2019,6,3,19,0,9.1,78,19.4
2019,6,3,19,30,9.2,73,22.3
2019,6,3,20,0,9.4,70,23.1
2019,6,3,20,30,8.9,73,21.1
2019,6,3,21,0,8.9,70,19.3
2019,6,3,21,30,6.7,85,15.3
2019,6,3,22,0,6.6,84,11.7
2019,6,3,22,30,6.3,86,11.3
2019,6,3,23,0,6.3,86,10
2019,6,3,23,30,6.3,91,10.7
2019,6,4,0,0,6.4,88,12
2019,6,4,0,30,6.8,85,9.4
2019,6,4,1,0,6.3,86,13.7
